image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,0,0,0,0.0036697388,0.00046157837,0.0,0.0,0.035938262939453125,0.4085540771484375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,1,0,512,0.0015830994,0.0004348755,0.0,0.0,0.03441619873046875,0.37102508544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,2,0,1024,0.0022850037,0.000667572,0.0,0.0,0.03302764892578125,0.47954559326171875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,3,0,1536,0.0009651184,0.00030136108,0.0,0.0,0.03913116455078125,0.5380973815917969
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,4,0,2048,0.0021629333,0.0007286072,0.0,0.0,0.041656494140625,0.4058189392089844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,5,0,2560,0.0017433167,0.0005836487,0.0,0.0,0.054965972900390625,0.5608749389648438
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,6,0,3072,0.023582458,0.00044631958,0.0,0.0,0.1201934814453125,0.24615097045898438
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,7,512,0,0.0028533936,0.00037384033,0.0,0.0,0.018680572509765625,0.5058784484863281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,8,512,512,0.002216339,0.0005645752,0.0,0.0,0.026996612548828125,0.5483131408691406
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,9,512,1024,0.0024604797,0.00075531006,0.0,0.0,0.02994537353515625,0.4955940246582031
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,10,512,1536,0.002506256,0.0008430481,0.0,0.0,0.02933502197265625,0.5264244079589844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,11,512,2048,0.00046539307,0.00016403198,0.0,0.0,0.036396026611328125,0.5729217529296875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,12,512,2560,0.0012893677,0.0004310608,0.0,0.0,0.041408538818359375,0.5464363098144531
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,13,512,3072,0.0021972656,0.0006637573,0.0,0.0,0.0543212890625,0.4801826477050781
